"","Id2","TotalTotalPopulation","MaleTotalPopulation","FemaleTotalPopulation","M_5To14Years","F_5To14Years","M_15To17Years","F_15To17Years","M_18To24Years","F_18To24Years","M_15To44Years","F_15To44Years","M_18YearsAndOver","F_18YearsAndOver","M_MedianAge","F_MedianAge","M_Percent","F_Percent"
"1",601,18450,8983,9467,14.5,13.5,5.2,4.5,10.8,9.7,41.1,39.4,74.2,76.1,35.4,38.4,49,52
"2",602,41302,20272,21030,13.2,12.4,4.8,4.5,10.6,9.9,41.5,40.4,76.5,77.8,38.1,39.2,50,51
"3",603,53683,26240,27443,14,11.7,4.6,4,9.7,9.4,40.2,38.5,75.7,79.1,37.4,40.4,49,52
"4",606,6591,3192,3399,14.6,13,5.3,4.8,10.4,9.2,37.6,41.9,74.2,76.8,37.1,37.8,49,52
"5",610,28963,14040,14923,14.1,12.2,5,4.3,10.2,9.1,41.6,39.7,75.3,78.4,36.6,40.9,49,52
"6",612,68055,32275,35780,14.7,11.6,4.6,4.2,10.4,9.1,39.7,38.7,74.7,78.4,36.9,40,48,53
"7",616,10183,5029,5154,11.7,10.6,5.6,3.1,10,9.6,41.7,42.5,76.8,84.6,39.9,41.9,50,51
"8",617,24879,11894,12985,15.5,13.3,4.6,4.3,10,9.4,41.9,42,73.7,76.9,35,38.2,48,53
"9",622,6165,2753,3412,16.2,10.8,5.8,4.2,9.5,6.6,34.6,42.5,73.8,82.1,43.1,40.9,45,56
"10",623,44704,21549,23155,13.5,12.3,4.4,4,9.1,8.9,39.8,37.7,75.9,78.2,38.3,41.3,49,52
"11",624,25340,12340,13000,15.8,14.6,4.9,4.7,11.3,11.6,41.1,41.8,72.3,74.2,33.6,34.6,49,52
"12",627,34806,16822,17984,14.4,12.8,5.1,4.4,10.3,9.5,41.7,40,74.9,77.5,36.7,38.7,49,52
"13",631,1747,860,887,9.8,5.6,5.1,1.8,14,9.1,35.7,39.6,80.5,86.7,44,41.9,50,51
"14",637,24996,11908,13088,14.6,12.4,4.9,4.3,9.9,8.8,40,37.9,74.2,77.7,36.6,40.4,48,53
"15",638,18742,9198,9544,14.6,13.4,4.7,4.6,11,10.4,39.6,39.7,74.5,75.9,36.5,38.1,50,51
"16",641,30401,14820,15581,14.4,12,4.9,4.1,10.8,9.9,38.7,38.6,75,78,37.6,39.8,49,52
"17",646,38303,18374,19929,15.9,14.4,4.7,4.2,8.9,8.5,41.3,40.7,72.7,75.5,36.3,38.3,48,53
"18",647,5640,2762,2878,11.5,10.2,4.4,4.3,11.9,9.2,40,34.1,78.6,80.4,35.9,45.4,49,52
"19",650,14969,7349,7620,14.9,14.1,5.1,5,11.2,10.4,41.7,41.3,73.2,75.5,35.3,37.7,50,51
"20",652,3461,1623,1838,9.7,19.7,3.6,3.6,12.3,7.2,44.9,32.1,77.8,75.4,33.9,41.4,47,54
"21",653,13461,6444,7017,15.7,13.3,4.7,4.6,9.3,9.4,38.9,40.4,72.8,75.9,36.2,36.9,48,53
"22",656,21172,10242,10930,15.1,13.4,4.5,4.3,10.4,9.5,40.5,39.2,73.9,76.3,35.1,38.4,49,52
"23",659,41932,20266,21666,14.2,12.7,4.8,4,10.2,9.3,41.4,40.6,74.8,78.2,36.3,39.6,49,52
"24",660,17151,7983,9168,13.4,11,4.4,3.7,9,7.3,38.5,35.2,77,81,38.7,44.5,47,54
"25",662,43535,21157,22378,14.1,12.1,4.6,3.9,9.4,9.1,40.9,39.8,75.5,78.6,37.1,39.6,49,52
"26",664,16508,8220,8288,15.1,14.6,5.6,4.8,11.8,10.6,43.6,41.1,72.5,74.2,33.1,35.4,50,51
"27",667,25797,12603,13194,13.4,11.6,4.7,3.8,10.3,9,39,36.5,76.1,79.6,37.7,42.7,49,52
"28",669,28984,14321,14663,13.9,13.2,4.6,4.5,11.1,9.5,41.5,39.4,75.6,76.9,36.1,39.1,50,51
"29",670,9689,4796,4893,13.1,12.6,4.6,4.6,11.2,10.3,40.1,39.8,75.9,76.7,36.7,38.1,50,51
"30",674,43848,20827,23021,15.2,12.6,5,4.3,9.7,9.7,39.2,39,73.3,77.3,36,38.9,48,53
"31",676,39916,19582,20334,15.2,13.8,4.6,4.5,10.1,9.8,41.5,41.5,73.7,76,34.9,37,50,51
"32",677,15108,7317,7791,13.3,11.6,4.1,3.8,8.1,7.9,37.4,36.6,76.8,79.5,40.8,41.7,49,52
"33",678,27229,13283,13946,13.7,13.2,4.8,4.5,10.8,9.6,42.2,39.8,75.2,77.1,35.5,39.8,49,52
