"group"|"lon"|"lat"|"dma_id"|"dma_lable"
"1"|1|-76.414892|38.104723|511|"Washington, DC (Hagerstown, MD)"
"2"|1|-76.430273|38.119652|511|"Washington, DC (Hagerstown, MD)"
"3"|1|-76.441665|38.150634|511|"Washington, DC (Hagerstown, MD)"
"4"|1|-76.405974|38.161599|511|"Washington, DC (Hagerstown, MD)"
"5"|1|-76.409803|38.173449|511|"Washington, DC (Hagerstown, MD)"
"6"|1|-76.450779|38.211949|511|"Washington, DC (Hagerstown, MD)"
"7"|1|-76.463652|38.128508|511|"Washington, DC (Hagerstown, MD)"
"8"|1|-76.505151|38.170098|511|"Washington, DC (Hagerstown, MD)"
"9"|1|-76.530035|38.134047|511|"Washington, DC (Hagerstown, MD)"
"10"|1|-76.556697|38.210485|511|"Washington, DC (Hagerstown, MD)"
"11"|1|-76.686243|38.232695|511|"Washington, DC (Hagerstown, MD)"
"12"|1|-76.62905|38.260909|511|"Washington, DC (Hagerstown, MD)"
"13"|1|-76.627545|38.28448|511|"Washington, DC (Hagerstown, MD)"
"14"|1|-76.71947|38.232835|511|"Washington, DC (Hagerstown, MD)"
"15"|1|-76.699778|38.284845|511|"Washington, DC (Hagerstown, MD)"
"16"|1|-76.722888|38.311847|511|"Washington, DC (Hagerstown, MD)"
"17"|1|-76.778095|38.22788|511|"Washington, DC (Hagerstown, MD)"
"18"|1|-76.801787|38.358321|511|"Washington, DC (Hagerstown, MD)"
"19"|1|-76.917873|38.393067|511|"Washington, DC (Hagerstown, MD)"
"20"|1|-76.833671|38.273556|511|"Washington, DC (Hagerstown, MD)"
"21"|1|-77.014716|38.35925|511|"Washington, DC (Hagerstown, MD)"
"22"|1|-77.071622|38.308164|511|"Washington, DC (Hagerstown, MD)"
"23"|1|-76.963288|38.258296|511|"Washington, DC (Hagerstown, MD)"
"24"|1|-77.012292|38.199057|511|"Washington, DC (Hagerstown, MD)"
"25"|1|-76.770184|38.167478|511|"Washington, DC (Hagerstown, MD)"
"26"|1|-76.732117|38.097993|511|"Washington, DC (Hagerstown, MD)"
"27"|1|-76.701067|38.160019|511|"Washington, DC (Hagerstown, MD)"
"28"|1|-76.652372|38.096172|511|"Washington, DC (Hagerstown, MD)"
"29"|1|-76.643947|38.148073|511|"Washington, DC (Hagerstown, MD)"
"30"|1|-76.610587|38.148913|511|"Washington, DC (Hagerstown, MD)"
"31"|1|-76.521202|38.0449|511|"Washington, DC (Hagerstown, MD)"
"32"|1|-76.639249|37.96554|511|"Washington, DC (Hagerstown, MD)"
"33"|1|-76.876937|38.124448|511|"Washington, DC (Hagerstown, MD)"
"34"|1|-77.030094|38.090733|511|"Washington, DC (Hagerstown, MD)"
"35"|1|-77.061696|38.161631|511|"Washington, DC (Hagerstown, MD)"
"36"|1|-77.340436|38.25274|511|"Washington, DC (Hagerstown, MD)"
"37"|1|-77.659318|37.992033|511|"Washington, DC (Hagerstown, MD)"
"38"|1|-77.954818|38.117437|511|"Washington, DC (Hagerstown, MD)"
"39"|1|-77.710659|38.366454|511|"Washington, DC (Hagerstown, MD)"
"40"|1|-77.892404|38.389009|511|"Washington, DC (Hagerstown, MD)"
"41"|1|-78.105333|38.31255|511|"Washington, DC (Hagerstown, MD)"
"42"|1|-78.122857|38.440123|511|"Washington, DC (Hagerstown, MD)"
"43"|1|-78.33832|38.627282|511|"Washington, DC (Hagerstown, MD)"
"44"|1|-78.486004|38.421487|511|"Washington, DC (Hagerstown, MD)"
"45"|1|-78.548271|38.426225|511|"Washington, DC (Hagerstown, MD)"
"46"|1|-78.691313|38.510008|511|"Washington, DC (Hagerstown, MD)"
"47"|1|-78.641769|38.604719|511|"Washington, DC (Hagerstown, MD)"
"48"|1|-78.99376|38.850048|511|"Washington, DC (Hagerstown, MD)"
"49"|1|-79.057253|38.761414|511|"Washington, DC (Hagerstown, MD)"
"50"|1|-79.357667|38.964509|511|"Washington, DC (Hagerstown, MD)"
"51"|1|-79.305466|39.208006|511|"Washington, DC (Hagerstown, MD)"
"52"|1|-79.467474|39.178807|511|"Washington, DC (Hagerstown, MD)"
"53"|1|-79.486873|39.205961|511|"Washington, DC (Hagerstown, MD)"
"54"|1|-79.111434|39.431176|511|"Washington, DC (Hagerstown, MD)"
"55"|1|-78.931177|39.722775|511|"Washington, DC (Hagerstown, MD)"
"56"|1|-78.380335|39.722689|511|"Washington, DC (Hagerstown, MD)"
"57"|1|-78.134262|40.165482|511|"Washington, DC (Hagerstown, MD)"
"58"|1|-77.860725|40.061792|511|"Washington, DC (Hagerstown, MD)"
"59"|1|-77.671762|40.289826|511|"Washington, DC (Hagerstown, MD)"
"60"|1|-77.453969|39.972674|511|"Washington, DC (Hagerstown, MD)"
"61"|1|-77.459426|39.720028|511|"Washington, DC (Hagerstown, MD)"
"62"|1|-77.216807|39.719998|511|"Washington, DC (Hagerstown, MD)"
"63"|1|-77.311372|39.63952|511|"Washington, DC (Hagerstown, MD)"
"64"|1|-77.106831|39.491677|511|"Washington, DC (Hagerstown, MD)"
"65"|1|-77.167933|39.312778|511|"Washington, DC (Hagerstown, MD)"
"66"|1|-76.699065|38.983588|511|"Washington, DC (Hagerstown, MD)"
"67"|1|-76.697158|38.750116|511|"Washington, DC (Hagerstown, MD)"
"68"|1|-76.528607|38.712763|511|"Washington, DC (Hagerstown, MD)"
"69"|1|-76.509511|38.511799|511|"Washington, DC (Hagerstown, MD)"
"70"|1|-76.380595|38.384486|511|"Washington, DC (Hagerstown, MD)"
"71"|1|-76.421355|38.318882|511|"Washington, DC (Hagerstown, MD)"
"72"|1|-76.484016|38.329402|511|"Washington, DC (Hagerstown, MD)"
"73"|1|-76.482245|38.442587|511|"Washington, DC (Hagerstown, MD)"
"74"|1|-76.50805|38.389332|511|"Washington, DC (Hagerstown, MD)"
"75"|1|-76.646054|38.467499|511|"Washington, DC (Hagerstown, MD)"
"76"|1|-76.670938|38.617877|511|"Washington, DC (Hagerstown, MD)"
"77"|1|-76.702845|38.499266|511|"Washington, DC (Hagerstown, MD)"
"78"|1|-76.512587|38.323206|511|"Washington, DC (Hagerstown, MD)"
"79"|1|-76.373422|38.297479|511|"Washington, DC (Hagerstown, MD)"
"80"|1|-76.321851|38.036362|511|"Washington, DC (Hagerstown, MD)"
"81"|1|-76.414892|38.104723|511|"Washington, DC (Hagerstown, MD)"
"82"|1|NA|NA|511|"Washington, DC (Hagerstown, MD)"
"83"|1|-76.842706|38.254847|511|"Washington, DC (Hagerstown, MD)"
"84"|1|-76.849661|38.257905|511|"Washington, DC (Hagerstown, MD)"
"85"|1|-76.864846|38.270205|511|"Washington, DC (Hagerstown, MD)"
"86"|1|-76.840263|38.263921|511|"Washington, DC (Hagerstown, MD)"
"87"|1|-76.842706|38.254847|511|"Washington, DC (Hagerstown, MD)"
"88"|1|NA|NA|511|"Washington, DC (Hagerstown, MD)"
"89"|1|-76.474251|38.102428|511|"Washington, DC (Hagerstown, MD)"
"90"|1|-76.481036|38.115873|511|"Washington, DC (Hagerstown, MD)"
