"zip"|"name"|"employment"|"annual_payroll"|"lat"|"long"|"dma_code"|"dma_name"
"1"|1001|"AGAWAM, MA"|9418|373116|42.069668|-72.622252|543|"Springfield-Holyoke, MA"
"2"|1002|"AMHERST, MA"|17263|398992|42.374384|-72.511397|543|"Springfield-Holyoke, MA"
"3"|1003|"AMHERST, MA"|184|7181|42.386845|-72.525729|543|"Springfield-Holyoke, MA"
"4"|1005|"BARRE, MA"|844|27261|42.409728|-72.10962|506|"Boston et al, MA-NH"
"5"|1007|"BELCHERTOWN, MA"|1819|56706|42.272931|-72.409112|543|"Springfield-Holyoke, MA"
"6"|1008|"BLANDFORD, MA"|250|2888|42.184349|-72.940796|543|"Springfield-Holyoke, MA"
"7"|1010|"BRIMFIELD, MA"|305|13508|42.13265|-72.202238|543|"Springfield-Holyoke, MA"
"8"|1011|"CHESTER, MA"|34|1305|42.290441|-72.97026|543|"Springfield-Holyoke, MA"
"9"|1012|"CHESTERFIELD, MA"|0|1048|42.38253|-72.83835|543|"Springfield-Holyoke, MA"
"10"|1013|"CHICOPEE, MA"|4278|151328|42.161295|-72.602255|543|"Springfield-Holyoke, MA"
"11"|1020|"CHICOPEE, MA"|7987|290608|42.175399|-72.575504|543|"Springfield-Holyoke, MA"
"12"|1022|"CHICOPEE, MA"|2523|107088|42.19496|-72.55926|543|"Springfield-Holyoke, MA"
"13"|1026|"CUMMINGTON, MA"|119|4190|42.464266|-72.91628|543|"Springfield-Holyoke, MA"
"14"|1027|"EASTHAMPTON, MA"|4080|135573|42.265706|-72.680409|543|"Springfield-Holyoke, MA"
"15"|1028|"EAST LONGMEADOW, MA"|7582|303098|42.065704|-72.5037|543|"Springfield-Holyoke, MA"
"16"|1030|"FEEDING HILLS, MA"|1074|33538|42.070925|-72.675171|543|"Springfield-Holyoke, MA"
"17"|1031|"GILBERTVILLE, MA"|73|1348|42.350403|-72.182063|506|"Boston et al, MA-NH"
"18"|1032|"GOSHEN, MA"|90|3684|42.455409|-72.825243|543|"Springfield-Holyoke, MA"
"19"|1033|"GRANBY, MA"|686|22578|42.256704|-72.515868|543|"Springfield-Holyoke, MA"
