"","Id2","M_Full_time_$1To$9,999OrLoss","F_Full_time_$1To$9,999OrLoss","M_Full_time_$10,000To$14,999","F_Full_time_$10,000To$14,999","M_Full_time_$15,000To$24,999","F_Full_time_$15,000To$24,999","M_Full_time_$25,000To$34,999","F_Full_time_$25,000To$34,999","M_Full_time_$35,000To$49,999","F_Full_time_$35,000To$49,999","M_Full_time_$50,000To$64,999","F_Full_time_$50,000To$64,999","M_Full_time_$65,000To$74,999","F_Full_time_$65,000To$74,999","M_Full_time_$75,000To$99,999","F_Full_time_$75,000To$99,999","M_Full_time_$100,000OrMore","F_Full_time_$100,000OrMore"
"1",601,4.3,9.4,15.1,16.8,41.9,39.9,20,19.4,12.2,5.7,1.9,3.8,0,2.2,2.3,0,2.3,2.7
"2",602,9.9,5.9,26.5,21.3,31.5,42.6,16,17.8,8.3,8.1,3.9,2.1,1.8,0.7,1.8,0,0.3,1.5
"3",603,7.7,4.8,19.7,25.7,29.2,30.8,12.9,18.3,13.5,10.7,7.3,3.2,3,1.4,3.9,2.9,2.9,2.1
"4",606,3.2,6.4,38,36.5,42.3,53.1,11.4,4,5.1,0,0,0,0,0,0,0,0,0
"5",610,8.7,2.9,23.5,23.3,46.1,50,10.4,14.8,5.2,4.1,3.2,2.7,1.2,1,1.5,1.4,0.3,0
"6",612,4.5,2,14.1,12.6,34.1,48.1,19.6,22.5,12.4,7.6,7.4,2.6,1.7,1.6,2.3,2.1,3.8,0.8
"7",616,9.2,0,19.7,23.9,43.4,41.5,19.5,14.6,3,12.2,4.3,1.1,0.9,5.1,0,1.7,0,0
"8",617,3.7,2.8,16.4,28.4,34.7,35.7,23.9,16.4,9.6,11.6,8.2,3,1,1.4,2.6,0.7,0,0
"9",622,3.7,0,11,30.7,44.1,51.9,23.3,9.7,8.8,3.6,5.1,0,0,0,0,4.1,4.1,0
"10",623,3.5,3.3,17.8,15.3,36.4,43.1,19.8,21.2,9.2,9.5,6.8,3.9,0.9,1.5,2.4,1.5,3.2,0.7
"11",624,4.8,6.1,22.2,17.9,45.7,49.8,14.6,20.1,9.6,4.4,1.8,0.8,0.3,0.8,0.8,0,0.2,0
"12",627,7.9,3,22.8,18,39.2,40.5,13,22.3,7,9,5,3.2,1.1,0,0.8,3.2,3.1,0.8
"13",631,0,0,27.3,29.8,34.1,40.9,0,29.2,38.6,0,0,0,0,0,0,0,0,0
"14",637,2.8,1.3,24.1,22.3,30.3,27.3,26.7,32.1,9.5,9.7,4.7,4.1,0.5,1.7,0.6,1.6,0.8,0
"15",638,12.6,4.6,31.6,26.6,30.7,39.9,12.9,18.7,7.3,4.4,3.9,5,1,0.9,0,0,0,0
"16",641,7.6,1,16.9,12.7,36.7,41.6,22.2,24.3,8.2,15.1,4.9,2.2,1.2,0.6,0.4,1.5,1.9,1
"17",646,2.1,3.1,11.6,9.2,25.8,33,16.8,20.5,14.6,17.8,9.3,5.5,2.4,4.5,9.1,5.3,8.2,1
"18",647,14,8.9,12.6,28.9,48.3,54,15.9,6.6,3.9,1.7,3.5,0,0,0,1.7,0,0,0
"19",650,3.5,0,20.4,16.3,41.8,54.1,22.5,24.6,8.7,2.2,1.8,2,0,0.7,0.5,0,0.8,0
"20",652,3.9,0,20,36.2,34.6,36.5,10.7,15.6,7.6,11.7,17.9,0,5.2,0,0,0,0,0
"21",653,8.5,3.8,34.1,32.8,23.4,39.1,16.1,10.4,11.6,9.9,4.8,3.9,0,0,0,0,1.6,0.2
"22",656,4.3,3.5,24.8,12.3,27.5,39.3,21.4,29.9,15.3,10.3,1.5,2.2,1,2.5,2.4,0,1.9,0
"23",659,8.4,3.8,23.9,27.4,34.5,29,14.9,23,9.6,10.1,4,2.3,2,1.9,2.7,1.4,0,1.1
"24",660,5.4,3.1,10.7,16.1,50,36.5,15.5,30.2,9.8,8.8,4.2,2,0.6,0,3.8,1.8,0,1.5
"25",662,6.9,4.2,21.1,24.1,30.5,36.7,16,20.9,14.4,9.7,6.3,2.8,0.7,0.3,3.8,1.3,0.2,0
"26",664,10.7,0,24.3,17.3,29.7,45.8,14.3,24.7,10.6,10.4,7.8,0,1.5,1.8,1.1,0,0,0
"27",667,6.5,3.7,20.3,16.2,42.1,43.1,12.2,26.1,11.2,5.9,4,2.5,1.3,0,2.3,0,0,2.5
"28",669,8.6,5.5,19,31.1,34.7,29.6,20.2,19.7,13.5,10,1.8,1.7,0.4,1.3,1.3,1.2,0.6,0
"29",670,19.2,2.2,32.9,21.2,26.4,47.2,12.7,21.7,7,5.9,0,1.8,1.8,0,0,0,0,0
"30",674,3.5,1.5,19,16.4,33.1,34.6,18,23.9,13.3,13.5,6.9,5.4,1.4,1.4,3,3.1,1.8,0.3
"31",676,9.5,4.3,17.5,23.3,40.5,38.4,17.5,19.7,8.1,11.8,3.2,1.6,1.1,0.9,1.5,0,1.2,0
"32",677,6.3,5.2,38.4,25,30.9,35.9,11.2,20.5,7.4,10.1,3.8,2.3,0,0,0,0,2.1,1.1
"33",678,7.4,6.7,27.8,23.8,32.1,27.7,10.1,28.6,13.2,9.2,4.5,2.3,1,1.7,2.9,0,1,0
"34",680,2.5,4.3,20.1,15.4,40.2,45.9,18.4,18.2,7.2,10.1,4.3,3.5,1.1,0.8,2.7,0.8,3.4,0.9
"35",682,4.4,7.8,12.3,17.3,27.2,34,27.8,16.5,7.8,10.4,4.5,3.5,4,2.5,5.7,4.8,6.4,3.2
"36",683,6.2,8.5,24.7,24.4,32.5,36.5,18.4,15.3,6.9,6.3,4.5,3.8,2.9,1.6,0.8,3.3,3.1,0.3
"37",685,10.7,6.6,19.7,26.2,34,35.1,19.9,20.7,7.8,7.6,3.6,1.7,1.3,0.9,0.3,1.1,2.7,0
"38",687,10.1,7.8,22.9,31.8,31.5,32.2,16,14.8,12.7,9.8,4.3,2.1,0.7,0,1.2,0,0.6,1.4
"39",688,9.4,12.3,17.6,18.4,39.5,46.7,19.3,19.1,7.8,1.9,5.1,0,0,0,0,1.6,1.3,0
"40",690,11.8,0,9,9.9,26.1,47.8,19.8,25,6.9,6.7,15.3,0,11.2,10.6,0,0,0,0
"41",692,3,3.9,20.4,14.4,35.4,42,13.3,19.8,12,10.7,6.9,4.6,1.5,1.5,4.8,1.1,2.8,1.9
"42",693,4.8,3.8,19.4,12.6,35.5,45.8,18,17.3,8.9,12,5.1,3.7,1.9,1.1,2,1.7,4.3,2.1
"43",694,0,NA,0,NA,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"44",698,7.6,2.4,26,15,30,36.7,18.6,28.7,8.3,12.1,3,2.8,1.5,0.7,2.9,1.4,2.1,0.2
"45",703,8.1,8.8,18.3,15.7,42.6,37.8,14.7,23.7,8.1,10.5,4.6,0,1.6,0,2,3.5,0,0
"46",704,3.5,4.9,19.5,26.6,32.8,25.6,30,41,7.8,1.8,6.4,0.1,0,0,0,0,0,0
"47",705,5.5,4.6,24.4,20.4,33.5,46.7,16.7,15.3,11.5,10.7,5.1,0.3,2.3,0.9,1.1,0,0,1.1
"48",707,12.9,0,19.1,18.4,10.6,37.1,39.5,25.2,7.6,15.8,9.5,3.6,0,0,0.9,0,0,0
"49",714,12.3,0.9,21.7,21.6,27.8,38.7,21.1,23.1,9.2,15.7,4.2,0,0.6,0,0,0,3,0
"50",715,6.9,9.5,22.7,0,49.7,51.5,4.3,17.2,10.3,11.8,4.5,9.9,0,0,0,0,1.7,0
"51",716,7.7,5.5,10.6,14.9,34.8,33.8,15.5,22.5,8.4,12.2,8.3,4.8,3.3,0.7,5.7,2.9,5.7,2.8
"52",717,7.4,6.6,17.7,9.6,41.5,40.7,17.4,20.4,6.4,13.2,4.5,5.4,1.6,0.9,2.3,1.8,1,1.4
"53",718,3.6,6,14.2,12.3,44.2,49.1,18.8,16.1,10.4,10,4.4,5.7,1.3,0.9,1.5,0,1.4,0
"54",719,7,10.5,19.6,14.2,39.4,50,14.2,16.2,10.6,5.8,1.9,1.3,2.7,0,1.5,2,3,0
"55",720,6.4,6.9,19,16.4,44.3,48.1,23.7,14.6,2.9,9.8,1.2,1.5,0,0.6,2.4,1.5,0,0.6
"56",723,5.1,1.8,23.6,15.2,35.3,52.7,16,17.5,13.8,4.1,2.8,3.7,0.6,3.8,2.9,0,0,1.1
"57",725,3.7,1.9,14.7,14.5,36.2,38.2,19.8,21.3,11.2,14.4,5.7,5.2,1.6,2.4,2.8,1.5,4.2,0.5
"58",727,2.1,3.1,9.9,9.1,30.2,33.2,19.6,22,14.4,15.8,7.1,5.7,3.4,3.8,5.8,4.5,7.4,2.9
"59",728,7.6,5.7,19.2,16.1,33.5,43.4,18.8,21.7,10.2,7.9,3.7,3.9,2.4,0.7,2.6,0.6,2,0
"60",729,3.9,4.5,16.5,11.9,43,43.6,14.8,21.2,9.7,9.7,4.9,3,3,1.8,2.6,2.1,1.5,2.1
"61",730,5.8,1.3,14.7,17.4,38.1,46.5,13.3,16.4,10.9,9.7,5.8,4.4,1.2,0,4.9,1.9,5.2,2.3
"62",731,8.3,6.8,25.6,25.1,27.8,38.3,17.7,10,10.7,14.4,5.4,1.2,2.4,0.9,0.6,0,1.5,3.2
"63",735,5.2,5.7,18.9,5.1,50.5,40.8,11.8,36.3,6.3,9.2,4.3,2.9,0,0,1.7,0,1.3,0
"64",736,4.8,3.1,14.9,10.6,40.3,45.9,14.8,20.6,10.7,12.5,7.3,4.9,0.6,1.2,3.5,0.6,3.1,0.6
"65",738,4.1,2,12.6,15.3,44,50.9,21.1,16.2,9.1,10.3,4.2,3.3,1.4,0.3,1.7,0.4,1.6,1.3
"66",739,1.8,1.3,12.9,9.5,46.2,53.4,15.4,18,10.4,9.4,6.4,4.2,2.4,0.4,2,0.9,2.4,2.8
"67",740,19.4,0,22.4,10.8,14.1,56.9,21.2,23.5,12.4,8.8,10.6,0,0,0,0,0,0,0
"68",741,8.9,10,4.7,14.9,37.7,44.7,22.3,8.6,20.1,12.2,0,6.8,0,0,0,2.7,6.2,0
"69",745,5.7,3.8,17.7,13.9,34.4,39.6,19.2,22.3,13.4,14.8,4.9,1.9,1.6,0.7,2.2,2.9,1,0
"70",751,5.2,2.4,23.5,21.8,25.9,27.7,28.9,24.4,8.8,19.1,4.8,2.7,0.6,0,1.2,0.7,1,1.2
"71",754,3,4.5,20.6,15.8,37.8,40.6,15.3,22.7,13.1,9.6,6.4,4.9,0.8,0.6,1.6,1.2,1.4,0
"72",757,9.9,3.1,19.4,12.6,27.5,37.6,20.4,29.2,12.5,9.2,4.5,7.2,1.8,1.2,3.2,0,1,0
"73",765,2.2,3.4,15.1,18.9,54.4,68.6,14.1,8,11.2,1.2,0,0,1.1,0,2,0,0,0
"74",766,5.6,0.7,21.4,14.6,45.4,49.5,14.3,19.6,5.3,9.3,3.4,4.3,1.7,0.4,1.6,1,1.4,0.6
"75",767,2.6,3.1,18.1,12.7,46.7,49.7,18.7,19.2,8.7,14.1,2.3,1.2,1.1,0,0.5,0,1.2,0
"76",769,8.5,6.7,17.8,12,24.3,43.5,23.9,22,13.8,10.5,5.6,1.6,4.1,0.6,1.1,1,0.9,2.2
"77",771,4.2,2.1,22.6,14.6,31.1,42.6,20.1,20.2,13.3,13.6,3.6,4.5,1.2,0,2,1.3,1.9,1.3
"78",772,5.2,2.1,19.5,16.1,45.2,45.8,16.4,20.9,9.1,14.3,2.8,0.8,1.7,0,0,0,0,0
