"","Id2","M_MedianEarnings_LessThanHighSchoolGraduate","F_MedianEarnings_LessThanHighSchoolGraduate","M_MedianEarnings_HighSchoolGraduate","F_MedianEarnings_HighSchoolGraduate","M_MedianEarnings_SomeCollegeOrAssociate'sDegree","F_MedianEarnings_SomeCollegeOrAssociate'sDegree","M_MedianEarnings_Bachelor'sDegree","F_MedianEarnings_Bachelor'sDegree","M_MedianEarnings_GraduateOrProfessionalDegree","F_MedianEarnings_GraduateOrProfessionalDegree"
"1",601,11334,4665,18478,12901,18548,13939,26250,21048,36667,32019
"2",602,7920,7067,12666,11127,14689,11777,24867,19028,36116,24496
"3",603,9237,6380,12637,11380,17494,13811,31859,19126,47348,26142
"4",606,6381,6744,13060,13529,16544,9663,15625,18211,NA,23722
"5",610,10187,6445,14946,15500,17865,13837,20400,16942,49226,23864
"6",612,11062,9219,16010,13780,20792,16178,30876,22429,39205,30779
"7",616,11419,10750,17188,13216,18667,16753,30599,21641,NA,31731
"8",617,15218,12313,16203,13321,21556,14563,31338,20119,35278,32194
"9",622,17522,NA,15739,15063,20543,14730,25703,21005,54554,NA
"10",623,11870,12350,15040,14115,19331,15934,31887,23467,56591,40257
"11",624,8250,6128,15545,11276,16691,11835,22537,22754,37443,23452
"12",627,8784,12554,12586,12620,14823,13984,25510,21369,40515,26815
"13",631,NA,NA,15125,5703,14271,16555,NA,26635,NA,NA
"14",637,12676,6513,14671,14635,15989,10682,19574,25883,38558,32011
"15",638,13237,5962,14292,14115,16177,15806,16500,21886,59141,27905
"16",641,8992,13459,17015,11353,17512,14981,28537,24526,29297,30625
"17",646,11509,7201,18668,15371,27337,17263,42121,27126,70595,37537
"18",647,6641,11250,15369,14196,19574,13750,21429,16550,NA,22763
"19",650,11458,NA,16639,13828,19241,18336,13940,22853,8889,29792
"20",652,51553,NA,14486,14750,30714,18690,22132,13802,NA,31016
"21",653,7100,11827,11829,11364,16214,12578,25521,19828,NA,35313
"22",656,9464,6778,14209,10733,20000,13457,17438,24706,47614,29444
"23",659,10723,6408,15127,11307,16072,13206,31347,21418,33173,31235
"24",660,11728,18365,16815,13438,17893,16231,22571,22408,33942,31082
"25",662,9958,5667,13238,12726,21203,16349,31535,17108,44750,26124
"26",664,12957,17059,14375,13618,12717,14630,32153,25129,22212,28300
"27",667,10656,6445,13344,13804,16864,14832,26036,23294,45417,31806
"28",669,8538,12279,15070,12388,15727,12013,30505,20717,30833,32582
"29",670,7680,13672,11560,13415,20677,14293,18173,25614,33594,31181
"30",674,8854,7976,15988,12174,17297,14290,33831,25299,39700,40500
"31",676,9589,10290,14500,11463,15791,12539,22098,22241,31325,24968
"32",677,8060,6142,10412,10449,13506,13054,22799,22446,30438,30000
"33",678,9629,10058,13513,10906,13766,13843,24815,23677,78083,35638
"34",680,12387,8750,14776,12353,17808,15838,24409,18454,34417,32323
"35",682,9560,9067,15141,9679,17606,14928,26289,19152,58365,37344
"36",683,9829,7282,13499,10928,16137,14320,24112,18399,57661,26442
"37",685,7738,9052,14470,12067,17979,14516,20532,19583,19348,27011
"38",687,11856,11756,12684,10922,22464,13776,23493,15333,30605,32039
"39",688,13261,NA,11796,12067,21429,16128,30543,24896,60439,24293
"40",690,7411,NA,16689,9712,18269,22333,31060,18782,30909,NA
"41",692,13793,9608,14705,15412,19072,16888,32722,25417,45069,33411
"42",693,15413,15007,13154,12778,22094,17440,27852,24132,42326,33065
"43",694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",698,8220,8135,13950,14679,15551,12702,30817,24162,33750,31719
"45",703,12244,14087,14618,13994,18807,17216,27415,25721,12350,25000
"46",704,6458,6563,11563,11901,24205,15366,24327,25583,NA,30987
"47",705,13503,8295,15154,12113,16534,16984,22921,21493,32500,25263
"48",707,8400,5298,12989,8631,14510,15994,27885,16034,NA,35901
"49",714,10056,6042,11152,14424,22266,15797,23929,25815,53625,29091
"50",715,9970,16696,14688,9635,21250,11935,14083,15750,NA,44516
"51",716,6962,8092,15401,10469,14173,14692,26480,22809,46985,36442
"52",717,11903,4893,13505,12750,15155,10256,21786,17791,25536,34574
"53",718,11653,8682,14214,12733,23438,14886,30088,22039,95625,27125
"54",719,13183,15055,16191,15823,18775,14950,21875,17813,48177,31071
"55",720,10179,9728,15616,10704,19129,14750,23920,22768,NA,30806
"56",723,9385,10476,13275,12353,18468,15470,29679,21679,35395,19952
"57",725,13435,11308,16329,13458,19519,14719,31792,24927,39803,30897
"58",727,13532,12765,16296,13330,18444,18071,34094,29111,47198,38645
"59",728,8380,6136,13618,12406,16328,13395,23438,22008,49653,30784
"60",729,13785,9348,16149,13631,18636,16716,29504,24128,61071,31701
"61",730,7196,6224,13650,12985,15542,14643,27550,21551,52188,30865
"62",731,11090,4810,12330,10564,12050,13516,30578,18929,14297,40798
"63",735,9891,4375,15830,14850,17046,15996,16985,28566,34203,31974
"64",736,10644,9755,15674,14896,19071,16593,30216,26613,45083,27272
"65",738,15170,7994,16583,15109,19539,16626,25302,18313,37813,35313
"66",739,12238,9809,16861,15245,23867,16553,31202,24121,43889,31138
"67",740,7102,NA,23229,9865,42679,32865,NA,NA,NA,NA
"68",741,10357,NA,14583,12788,20543,15385,32639,24688,35469,NA
"69",745,12191,8958,15510,13038,20702,16176,30970,23419,34938,35313
"70",751,8804,6096,13367,11402,20341,12381,27486,26397,38452,35764
"71",754,12917,8813,14537,13176,20188,18810,32567,24980,46103,31604
"72",757,8158,3333,13827,10793,19639,16993,25250,22411,41078,31496
"73",765,14609,3929,16015,15777,24472,16139,16098,17742,25898,26393
"74",766,8389,7000,13549,11791,20459,15403,23649,19558,51979,26225
"75",767,9663,11389,14540,13712,17587,18014,25486,23962,31042,25804
"76",769,6992,9928,14337,12660,23125,16116,28059,19054,41146,30265
"77",771,10591,13796,14322,14012,19588,16022,31239,22870,62813,34306
"78",772,14077,9559,15175,13003,15000,15497,26300,24259,27386,34971
"79",773,11082,6154,16427,13904,20491,15182,26964,23218,26276,31627
"80",775,7321,6382,16771,8485,10625,16923,NA,30125,NA,NA
"81",777,10069,7961,16879,14674,18229,16033,31444,22536,41436,32138
"82",778,11470,9928,16147,12392,20353,15376,39893,26503,51550,37295
"83",780,6705,NA,15991,6438,19651,16107,25548,22443,76705,40032
"84",782,8983,7092,11769,15289,22768,15354,21891,24224,24972,26823
"85",783,14914,9803,16471,11692,18891,16143,23910,22438,31206,32179
