"","WhiteAlone","BlackOrAfricanAmericanAlone","AmericanIndianAndAlaskaNativeAlone","AsianAlone","NativeHawaiianAndOtherPacificIslanderAlone","SomeOtherRaceAlone","TwoOrMoreRaces","Id2"
"1",94.62,0.78,0.02,0,0,4.2,0.38,601
"2",63.56,3.5,0.07,0.17,0,3.07,29.63,602
"3",77.52,3.3,0.03,0.83,0,3.06,15.25,603
"4",95.34,1.12,0,0,0,2.22,1.32,606
"5",74,2.91,0,0.07,0,16.7,6.31,610
"6",83.22,4.6,0.24,1.21,0,7.14,3.58,612
"7",91.18,2.32,0.21,0,0,3.95,2.35,616
"8",96.09,1.22,0.11,0.13,0,1.08,1.37,617
"9",95.67,1.31,0,0,0,2.61,0.41,622
"10",95.79,2.76,0.04,0.04,0,0.54,0.83,623
"11",88,2.92,0.22,0,0,7.24,1.62,624
"12",92.71,1.57,0.07,0.14,0,3.85,1.68,627
"13",90.9,0,0,0,0,9.1,0,631
"14",92.6,2.71,0.33,0,0,2.62,1.75,637
"15",96.63,0.94,0,0,0,1.5,0.93,638
"16",89.11,2.36,0.08,0.59,0,6.34,1.52,641
"17",71.8,14.83,0.02,0.09,0,2.13,11.13,646
"18",92.89,3.55,0.12,0,0,2.29,1.15,647
"19",95.98,1.32,0,0.17,0,1.99,0.54,650
"20",92.6,2.83,0,0.49,0,3.93,0.14,652
"21",90.25,3.16,0.22,0,0,3.72,2.64,653
"22",91.73,2.65,0.17,0,0,3.95,1.51,656
"23",94.47,0.97,0,0.35,0,1.69,2.52,659
"24",51.99,3.25,0,0.34,0,14.27,30.15,660
"25",66.1,5.64,0.76,0.05,0,23.64,3.82,662
"26",82.83,3.33,0.75,0.12,0,3.42,9.56,664
"27",94.77,2.18,0.12,0,0,0.82,2.11,667
"28",95.55,0.86,0,0.07,0,2.77,0.75,669
"29",96.49,1.76,0.24,0,0,1.16,0.35,670
"30",86.74,3.79,0.03,0.04,0,8.13,1.26,674
"31",83.39,1.83,0.01,0,0.05,8.58,6.14,676
"32",62.07,4.07,0.13,0.14,0,1.56,32.04,677
"33",74.3,3.59,0.32,0.14,0,19.83,1.82,678
"34",60.87,3.48,0.12,0.06,0,18.86,16.61,680
"35",51.6,4.25,0,0.15,0,25.17,18.83,682
"36",94.83,2.61,0.08,0,0,1.4,1.09,683
"37",91.61,1.47,0,0.06,0,5.82,1.05,685
"38",82.37,2.15,0,0,0,1.62,13.86,687
"39",90.85,2.48,0.14,0.18,0,5.12,1.23,688
